Activity,Location,Impact Category,Baseline 2025,Baseline 2040,Baseline Change,Baseline % Change,VSI 2025,VSI 2040,VSI Change,VSI % Change,VSI to baseline change,VSI to baseline change %,SSP,Activity Group
"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'photochemical oxidant formation', 'POFP')",0.7637129547739683,0.7311560822682321,-0.032556872505736134,-4.2629724037314265,0.7637137796796271,0.7311430732317129,-0.032570706447914155,-4.264779203221573,-1.3009036519240347e-05,-0.0018067994901462825,SSP1,Nickel
"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'human toxicity', 'HTPinf')",180.57161062034257,176.5073838278865,-4.064226792456054,-2.2507562393078597,180.57177649079665,176.42618662298915,-4.145589867807502,-2.2958127501275336,-0.08119720489736437,-0.04505651081967388,SSP1,Nickel
"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'marine eutrophication', 'MEP')",0.2426450347348172,0.2305013421736524,-0.012143692561164793,-5.00471504576075,0.2426456513654781,0.2305015719750057,-0.012144079390472406,-5.004861748863874,2.2980135330752383e-07,-0.00014670310312414614,SSP1,Nickel
"platinum group metal, extraction and refinery operations",ZA,"('IPCC 2013', 'climate change', 'GWP 100a, incl. H and bio CO2')",30.61126692275525,19.42631304072321,-11.18495388203204,-36.53868332289629,30.611228396252496,19.42552475761064,-11.185703638641858,-36.541178595796694,-0.0007882831125698431,-0.0024952729004041885,SSP1,Nickel
"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'particulate matter formation', 'PMFP')",0.2395468974444033,0.2148096081622648,-0.024737289282138503,-10.326699926422469,0.2395463315493111,0.2147771808899079,-0.02476915065940319,-10.340025037830483,-3.242727235688858e-05,-0.013325111408013512,SSP1,Nickel
"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'agricultural land occupation', 'ALOP')",1.6037074850480408,4.618925996404507,3.0152185113564665,188.01549156990697,1.6037110208670615,4.6189384384328935,3.015227417565832,188.01563238841004,1.2442028386239201e-05,0.00014081850306979504,SSP1,Nickel
"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'freshwater eutrophication', 'FEP')",0.0462257872019666,0.0406368526561636,-0.005588934545803004,-12.090512426287532,0.0462260184883568,0.0406373020968678,-0.0055887163914890015,-12.089980003137544,4.4944070420188664e-07,0.000532423149987693,SSP1,Nickel
"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'metal depletion', 'MDP')",79.80299369324531,79.92523610938903,0.12224241614372033,0.1531802385930632,79.80298627371839,79.92523410868822,0.12224783496982639,0.15318704308949702,-2.0007008174616203e-06,6.80449643380987e-06,SSP1,Nickel
"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'terrestrial acidification', 'TAP100')",0.8567275062081676,0.7628038679793326,-0.09392363822883498,-10.963070235078156,0.8567356564692583,0.762661891571671,-0.09407376489758734,-10.98048904434304,-0.0001419764076616703,-0.017418809264883706,SSP1,Nickel
"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'water depletion', 'WDP')",0.57690169540268,0.5442863574776237,-0.03261533792505633,-5.653534767702611,0.5769011591747087,0.5442852641253173,-0.03261589504939144,-5.653636594533873,-1.0933523063583195e-06,-0.00010182683126203074,SSP1,Nickel
"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'urban land occupation', 'ULOP')",1.5017755306593432,1.5981342287247933,0.09635869806545005,6.416318291132664,1.5017735332615747,1.598127076851285,0.09635354358971027,6.415983599101535,-7.151873508304263e-06,-0.00033469203112890256,SSP1,Nickel
"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'ionising radiation', 'IRP_HE')",1.8155994131774735,1.181791999002051,-0.6338074141754226,-34.908989812141364,1.8154232544091364,1.1817397497979638,-0.6336835046111726,-34.9055518084909,-5.224920408708478e-05,0.0034380036504657596,SSP1,Nickel
"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'fossil depletion', 'FDP')",11.549238523059556,8.889730867622687,-2.659507655436869,-23.027558484715822,11.54897443353508,8.889309676785825,-2.6596647567492546,-23.029445359462496,-0.00042119083686209535,-0.0018868747466740388,SSP1,Nickel
"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'freshwater ecotoxicity', 'FETPinf')",14.277621319316696,14.261201582260812,-0.016419737055883843,-0.11500330964562706,14.277619083488258,14.255347761497486,-0.022271321990771753,-0.1559876465434495,-0.0058538207633258565,-0.040984336897822424,SSP1,Nickel
"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'marine ecotoxicity', 'METPinf')",12.370794878403451,12.344036859940354,-0.02675801846309689,-0.21629991222156794,12.370793574691495,12.343057857258623,-0.027735717432872065,-0.22420321918243424,-0.0009790026817313446,-0.007903306960866302,SSP1,Nickel
"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'ozone depletion', 'ODPinf')",2.8011525570006405e-06,2.501050493101865e-06,-3.001020638987755e-07,-10.7135208737118,2.801081050821844e-06,2.5009748930680868e-06,-3.0010615775375735e-07,-10.713940521846215,-7.560003377820324e-11,-0.00041964813441452975,SSP1,Nickel
"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'terrestrial ecotoxicity', 'TETPinf')",0.0006591103024459,0.0006305109724637,-2.8599329982200014e-05,-4.33908101209622,0.0006591026280262,0.0006305109712297,-2.859165679650001e-05,-4.337967348442049,-1.233999989865009e-12,0.001113663654170871,SSP1,Nickel
"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'natural land transformation', 'NLTP')",0.0006081900789477,0.0006562630502609,4.8072971313199925e-05,7.904267592851322,0.0006081977893906,0.0006562698719715,4.807208258090004e-05,7.9040212607591265,6.821710600048159e-09,-0.0002463320921952672,SSP1,Nickel
"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'photochemical oxidant formation', 'POFP')",0.0033941854212933,0.0036716928204674,0.0002775073991741002,8.175964619763185,0.0033942034913487,0.0036716610984694,0.0002774576071206997,8.174454119439103,-3.172199800017747e-08,-0.0015105003240822867,SSP1,Nickel
"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'human toxicity', 'HTPinf')",2.4987685249873985,2.5212775789594186,0.022509053972020077,0.9008058868571506,2.498772003180303,2.521284477226098,0.022512474045794928,0.9009415031520387,6.898266679211673e-06,0.000135616294888119,SSP1,Nickel
"nickel mine operation and benefication to nickel concentrate, 16% Ni",CA-QC,"('ReCiPe Midpoint (H)', 'marine eutrophication', 'MEP')",0.0013337060194575,0.0014457838593931,0.00011207783993559995,8.403489097334123,0.0013337194166146,0.0014457895333144,0.00011207011669980014,8.402825609622555,5.673921300028764e-09,-0.0006634877115683224,SSP1,Nickel
